day,timestamp,action,actor,amount,rewardRatePioneersScaled,rewardRateTakadaoScaled,periodFinish,revenuePerNftOwnedByPioneers,takadaoRevenueScaled,totalSupply,balanceOfActor,earnedViewBefore,approvedDeposits
4,345601,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,3581937,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,9,3581937,2923236385
4,345601,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,1591972,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,4,1591972,2921644413
4,345601,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,13133771,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,33,13133771,2908510642
4,345601,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,8357854,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,21,8357854,2900152788
4,345601,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,27726851,831141760973936899860,277047253657978966619,2937601,457801701222753854331191,31893518518518518518147200,209,0,27726851,2872425937
5,432001,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,500000000,948112961534064929123,316037653844688309707,3024001,801393319156477051211114,55830401234567901234028800,209,0,0,3372425937
6,518401,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,800000000,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,0,0,4172425937
6,518401,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,36776939,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,50,36776939,4135648998
6,518401,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,22066163,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,30,22066163,4113582835
6,518401,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,13239698,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,18,13239698,4100343137
6,518401,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,5148771,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,7,5148771,4095194366
6,518401,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,18388469,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,25,18388469,4076805897
6,518401,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,8826465,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,12,8826465,4067979432
6,518401,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,6619849,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,9,6619849,4061359583
6,518401,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,2942155,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,4,2942155,4058417428
6,518401,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,24272780,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,33,24272780,4034144648
6,518401,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,15446314,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,21,15446314,4018698334
6,518401,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,51242536,1147990677631077579633,382663559210359193210,3110401,1193340495599267529087799,83136054526748971192713600,209,0,51242536,3967455798
7,604801,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,700000000,1312270618006337956608,437423539335445985535,3196801,1667916546064937877797326,116198186042524005486057600,209,0,0,4667455798
8,691201,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,1000000000,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,0,0,5667455798
8,691201,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,50853247,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,50,50853247,5616602551
8,691201,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,30511948,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,30,30511948,5586090603
8,691201,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,18307169,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,18,18307169,5567783434
8,691201,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,7119454,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,7,7119454,5560663980
8,691201,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,25426623,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,25,25426623,5535237357
8,691201,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,12204779,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,12,12204779,5523032578
8,691201,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,9153584,1557880115924645209906,519293371974881736634,3283201,2210405452264687157466853,153991579841106538636281600,209,9,9153584,5513878994
